#detector;R:1,0 S:1,1;62.399995;0.000000;41.999998;82.799987;-19.999999;19.999999;0.200000
#detector;R:1,0 S:0,0;21.999999;-40.399998;2.000000;41.999998;-60.799995;-19.999999;0.200000
#detector;R:0,0 S:1,1;-22.000000;0.000000;-41.999998;-2.000000;-20.400000;20.400000;0.200000
#detector;R:0,0 S:0,0;-62.399993;-40.399995;-82.399987;-42.399995;-60.799993;-19.999997;0.200000
#detector;R:1,0 S:0,2;21.999999;40.399998;2.000000;41.999998;19.999999;60.799995;0.200000
#detector;R:1,0 S:1,0;62.399993;-40.399995;42.399995;82.399987;-60.799993;-19.999997;0.200000
#detector;R:0,0 S:0,2;-62.399993;40.399995;-82.399987;-42.399995;19.999997;60.799993;0.200000
#detector;R:0,0 S:1,0;-21.999999;-40.399998;-42.399998;-1.600000;-60.399995;-20.399999;0.200000
#detector;R:1,0 S:1,2;62.399993;40.399995;42.399995;82.399987;19.999997;60.799993;0.200000
#detector;R:1,0 S:0,1;22.000000;0.000000;2.000000;41.999998;-20.400000;20.400000;0.200000
#detector;R:0,0 S:1,2;-21.999999;40.399998;-41.999998;-2.000000;19.999999;60.799995;0.200000
#detector;R:0,0 S:0,1;-62.399995;0.000000;-82.399987;-42.399998;-20.399999;20.399999;0.200000
#galSimType;uniqueId;raObserved;decObserved;chipName;x_pupil;y_pupil;sedFilepath;majorAxis;minorAxis;sindex;halfLightRadius;positionAngle;fitsFiles;redshift
sersic;2152073914394;1.53647272;-4.80682108;R:0,0 S:0,1;-56.9621778;7.01980208;galaxySED/Exp.62E09.02Z.spec.gz;1.00796305e-06;8.18689341e-07;4;0.207907304;1.85312629;R:0,0 S:0,1;0.824492991
sersic;2151860455450;1.53637581;-4.80792428;R:0,0 S:0,1;-52.9757801;7.06896071;galaxySED/Exp.62E09.02Z.spec.gz;3.89065411e-07;2.46613564e-07;4;0.0802505016;1.37460378;R:0,0 S:0,1;0.942452013
sersic;2153516867610;1.5371586;-4.80798763;R:0,0 S:0,1;-52.9587102;4.25163689;galaxySED/Inst.20E09.02Z.spec.gz;6.89862752e-07;5.93740148e-07;4;0.142294407;2.18092853;R:0,0 S:0,1;2.3916676
sersic;2152605852698;1.53685602;-4.81417829;R:0,0 S:1,1;-30.6536415;3.66464897;galaxySED/Inst.25E09.02Z.spec.gz;2.47869008e-06;2.08592786e-06;4;0.51126653;1.88210628;R:0,0 S:1,1//R:0,0 S:0,1;1.05938077
sersic;2152983698458;1.54127239;-4.81512431;R:0,0 S:1,1;-28.4442231;-12.3887691;galaxySED/Inst.40E09.04Z.spec.gz;1.79830487e-06;1.74118403e-06;4;0.370927006;4.16133195;R:0,0 S:1,1;0.912655711
sersic;2156704611354;1.53978667;-4.81517159;R:0,0 S:1,1;-27.875279;-7.08678371;galaxySED/Inst.16E09.04Z.spec.gz;2.16713029e-06;1.34940272e-06;4;0.447002709;2.79184637;R:0,0 S:1,1;3.23844934
sersic;2151896959002;1.53902761;-4.81425275;R:0,0 S:1,1;-30.9698555;-4.12369664;galaxySED/Exp.62E09.02Z.spec.gz;7.14541205e-07;6.95601942e-07;4;0.147384703;2.42630727;R:0,0 S:1,1;0.998954296
sersic;2152085361690;1.53643171;-4.81261668;R:0,0 S:1,1;-36.1456131;5.60361093;galaxySED/Inst.32E09.002Z.spec.gz;1.86179606e-07;1.70378068e-07;4;0.0384023003;4.73215763;R:0,0 S:1,1;0.830250502
sersic;2157100830746;1.54543251;-4.81491368;R:0,0 S:1,0;-30.3180947;-27.2136411;galaxySED/Burst.40E09.04Z.spec.gz;2.52284781e-06;1.72532094e-06;4;0.520374715;5.67073549;R:0,0 S:1,1//R:0,0 S:1,0;1.61838853
sersic;2159707650074;1.54173517;-4.8146655;R:0,0 S:1,1;-30.2156399;-13.9205061;galaxySED/Inst.25E09.02Z.spec.gz;4.32646282e-07;3.00940328e-07;4;0.0892397016;1.20244373;R:0,0 S:1,1;2.14008141
