galid,ra,dec,mag,sed_name,z,catsim_id,twinkles_system,twinkles_img_num
213934178332,53.052941,-27.7033144,21.1014594,agnSED/agn.spec.gz,0.48,208920096,24,0
213934179356,53.0523965,-27.7029225,22.6117574,agnSED/agn.spec.gz,0.48,208920097,24,1
233595183132,53.0834399,-27.7074247,21.8323018,agnSED/agn.spec.gz,0.66,228120296,74,0
233595184156,53.0837398,-27.7073037,21.5520337,agnSED/agn.spec.gz,0.66,228120297,74,1
485837983772,52.7858168,-27.3042272,20.0769006,agnSED/agn.spec.gz,0.75,474451156,289,0
485837984796,52.7859556,-27.3040117,21.9771421,agnSED/agn.spec.gz,0.75,474451157,289,1
551311822876,52.9699268,-27.4221909,20.3711495,agnSED/agn.spec.gz,0.69,538390452,113,0
551311823900,52.9698944,-27.4217391,22.2610059,agnSED/agn.spec.gz,0.69,538390453,113,1
785592844316,52.9006004,-27.2818658,22.7653619,agnSED/agn.spec.gz,0.62,767180512,128,0
785592845340,52.9006342,-27.2816335,23.6345518,agnSED/agn.spec.gz,0.62,767180513,128,1
794901004316,53.1284066,-27.5017185,22.6010005,agnSED/agn.spec.gz,0.62,776270512,128,0
794901005340,53.1284405,-27.5014862,23.507337,agnSED/agn.spec.gz,0.62,776270513,128,1
957522223132,52.8537806,-27.2302554,22.4991924,agnSED/agn.spec.gz,0.66,935080296,74,0
957522224156,52.8540792,-27.2301344,22.1263038,agnSED/agn.spec.gz,0.66,935080297,74,1
1072506978332,53.2552647,-27.5926263,21.5086093,agnSED/agn.spec.gz,0.48,1047370096,24,0
1072506979356,53.2547208,-27.5922344,22.9918115,agnSED/agn.spec.gz,0.48,1047370097,24,1
1257605247004,53.1403691,-27.6887546,23.3059286,agnSED/agn.spec.gz,0.62,1228130124,31,0
1257605248028,53.1410594,-27.6884676,22.7442967,agnSED/agn.spec.gz,0.62,1228130125,31,1
1257605249052,53.1410886,-27.6881537,22.5028609,agnSED/agn.spec.gz,0.62,1228130126,31,2
1257605250076,53.1404469,-27.6880567,23.5988453,agnSED/agn.spec.gz,0.62,1228130127,31,3
1302364684316,53.0173568,-27.5841959,22.3867826,agnSED/agn.spec.gz,0.62,1271840512,128,0
1302364685340,53.0173907,-27.5839635,23.170016,agnSED/agn.spec.gz,0.62,1271840513,128,1
1370163503132,53.2360842,-27.4607287,21.7000374,agnSED/agn.spec.gz,0.66,1338050296,74,0
1370163504156,53.2363834,-27.4606077,21.3918237,agnSED/agn.spec.gz,0.66,1338050297,74,1
2098411823132,52.9735542,-27.6448562,21.6724431,agnSED/agn.spec.gz,0.66,2049230296,74,0
2098411824156,52.9738539,-27.6447352,21.2196815,agnSED/agn.spec.gz,0.66,2049230297,74,1
2136914047004,52.8412748,-27.2085096,22.3451706,agnSED/agn.spec.gz,0.62,2086830124,31,0
2136914048028,52.841962,-27.2082227,22.0280872,agnSED/agn.spec.gz,0.62,2086830125,31,1
2136914049052,52.8419912,-27.2079087,21.7665389,agnSED/agn.spec.gz,0.62,2086830126,31,2
2136914050076,52.8413522,-27.2078117,23.3445525,agnSED/agn.spec.gz,0.62,2086830127,31,3
2379735674908,53.1732283,-27.5312824,23.3323577,agnSED/agn.spec.gz,0.86,2323960620,155,0
2379735675932,53.1725425,-27.5311963,22.8539042,agnSED/agn.spec.gz,0.86,2323960621,155,1
2379735676956,53.1731058,-27.5308019,21.1331114,agnSED/agn.spec.gz,0.86,2323960622,155,2
2379735677980,53.1732077,-27.5308391,20.9984706,agnSED/agn.spec.gz,0.86,2323960623,155,3
2481019007004,53.1322481,-27.4676273,23.1598547,agnSED/agn.spec.gz,0.62,2422870124,31,0
2481019008028,53.132937,-27.4673403,22.5180682,agnSED/agn.spec.gz,0.62,2422870125,31,1
2481019009052,53.1329662,-27.4670264,22.2511761,agnSED/agn.spec.gz,0.62,2422870126,31,2
2481019010076,53.1323257,-27.4669294,23.6248948,agnSED/agn.spec.gz,0.62,2422870127,31,3
2488791474204,53.1652298,-27.3738058,20.0496835,agnSED/agn.spec.gz,0.55,2430460424,106,0
2488791475228,53.1650344,-27.3737149,19.9378237,agnSED/agn.spec.gz,0.55,2430460425,106,1
2798520447004,52.9583796,-27.3796334,22.7651793,agnSED/agn.spec.gz,0.62,2732930124,31,0
2798520448028,52.959068,-27.3793464,22.2709172,agnSED/agn.spec.gz,0.62,2732930125,31,1
2798520449052,52.9590972,-27.3790325,21.9895512,agnSED/agn.spec.gz,0.62,2732930126,31,2
2798520450076,52.9584572,-27.3789355,23.4225585,agnSED/agn.spec.gz,0.62,2732930127,31,3
2857799737372,53.0919706,-27.2312169,18.6952693,agnSED/agn.spec.gz,1.33,2790820056,14,0
2857799738396,53.0923367,-27.2313218,20.5088549,agnSED/agn.spec.gz,1.33,2790820057,14,1
3311739404316,53.0180559,-27.6503933,22.0903141,agnSED/agn.spec.gz,0.62,3234120512,128,0
3311739405340,53.0180898,-27.650161,23.0223746,agnSED/agn.spec.gz,0.62,3234120513,128,1
3642798452764,53.0603108,-27.7229494,21.3171279,agnSED/agn.spec.gz,0.61,3557420364,91,0
3642798453788,53.0604071,-27.7226023,23.2217419,agnSED/agn.spec.gz,0.61,3557420365,91,1
