prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv,twinkles_system,twinkles_img_num,lens_galaxy_uID
object,213934178330,53.0540495,-27.7031514,20.0791092,galaxySED/Inst.50E09.04Z.spec.gz,0.48,0,0,0,0,0,sersic2d,4.85461555e-06,4.75857386e-06,5.34746715,4,CCM,0.200000003,3.0999999,CCM,0.0297840896,3.1,24,0,21393434
object,213934179354,53.0535034,-27.7027614,20.0791092,galaxySED/Inst.50E09.04Z.spec.gz,0.48,0,0,0,0,0,sersic2d,4.85461555e-06,4.75857386e-06,5.34746715,4,CCM,0.200000003,3.0999999,CCM,0.0297908501,3.1,24,1,21393434
object,233595183130,53.0845636,-27.7071607,20.1482697,galaxySED/Inst.50E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,4.28427516e-06,4.18029195e-06,5.66837539,4,CCM,0.200000003,3.0999999,CCM,0.0291974188,3.1,74,0,23359514
object,233595184154,53.0848629,-27.7070388,20.1482697,galaxySED/Inst.50E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,4.28427516e-06,4.18029195e-06,5.66837539,4,CCM,0.200000003,3.0999999,CCM,0.0291953913,3.1,74,1,23359514
object,485837983770,52.7852671,-27.3049744,20.3662796,galaxySED/Inst.40E09.04Z.spec.gz,0.75,0,0,0,0,0,sersic2d,4.21904071e-06,2.65950213e-06,1.53575179,4,CCM,0.300000012,3.0999999,CCM,0.0323890646,3.1,289,0,48583706
object,485837984794,52.785405,-27.3047584,20.3662796,galaxySED/Inst.40E09.04Z.spec.gz,0.75,0,0,0,0,0,sersic2d,4.21904071e-06,2.65950213e-06,1.53575179,4,CCM,0.300000012,3.0999999,CCM,0.0324020928,3.1,289,1,48583706
object,551311822874,52.9698592,-27.4223216,19.9281807,galaxySED/Inst.20E09.02Z.spec.gz,0.69,0,0,0,0,0,sersic2d,6.95905608e-06,6.1331051e-06,3.45170604,4,CCM,0.600000024,3.0999999,CCM,0.029659447,3.1,113,0,55131162
object,551311823898,52.9698249,-27.4218699,19.9281807,galaxySED/Inst.20E09.02Z.spec.gz,0.69,0,0,0,0,0,sersic2d,6.95905608e-06,6.1331051e-06,3.45170604,4,CCM,0.600000024,3.0999999,CCM,0.0296702432,3.1,113,1,55131162
object,785592844314,52.8999497,-27.2822353,23.5181503,galaxySED/Burst.62E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,1.32242824e-06,1.16233306e-06,2.97193225,4,CCM,0.100000001,3.0999999,CCM,0.0273737212,3.1,128,0,78559258
object,785592845338,52.8999826,-27.2820029,23.5181503,galaxySED/Burst.62E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,1.32242824e-06,1.16233306e-06,2.97193225,4,CCM,0.100000001,3.0999999,CCM,0.0273699098,3.1,128,1,78559258
object,794901004314,53.1286616,-27.5013202,21.7749691,galaxySED/Burst.20E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,1.93743423e-06,1.21800233e-06,3.10744347,4,CCM,0.100000001,3.0999999,CCM,0.0289850424,3.1,128,0,79490074
