prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,internalExtinctionModel,galacticExtinctionModel,galacticAv,galacticRv,twinkles_system,twinkles_img_num,lens_galaxy_uID
object,213934178332,53.0540495,-27.7031514,21.1059012,agnSED/agn.spec.gz,0.48,0,0,0,0,0,point,none,CCM,0.0297840896,3.1,24,0,21393434
object,213934179356,53.0535034,-27.7027614,22.6142885,agnSED/agn.spec.gz,0.48,0,0,0,0,0,point,none,CCM,0.0297908501,3.1,24,1,21393434
object,233595183132,53.0845636,-27.7071607,21.8495651,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0291974188,3.1,74,0,23359514
object,233595184156,53.0848629,-27.7070388,21.5568775,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0291953913,3.1,74,1,23359514
object,485837983772,52.7852671,-27.3049744,20.0771157,agnSED/agn.spec.gz,0.75,0,0,0,0,0,point,none,CCM,0.0323890646,3.1,289,0,48583706
object,485837984796,52.785405,-27.3047584,21.9983744,agnSED/agn.spec.gz,0.75,0,0,0,0,0,point,none,CCM,0.0324020928,3.1,289,1,48583706
object,551311822876,52.9698592,-27.4223216,20.3899985,agnSED/agn.spec.gz,0.69,0,0,0,0,0,point,none,CCM,0.029659447,3.1,113,0,55131162
object,551311823900,52.9698249,-27.4218699,22.2583411,agnSED/agn.spec.gz,0.69,0,0,0,0,0,point,none,CCM,0.0296702432,3.1,113,1,55131162
object,785592844316,52.8999497,-27.2822353,22.7548425,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0273737212,3.1,128,0,78559258
object,785592845340,52.8999826,-27.2820029,23.6219244,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0273699098,3.1,128,1,78559258
object,794901004316,53.1286616,-27.5013202,22.6048871,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0289850424,3.1,128,0,79490074
object,794901005340,53.1286946,-27.5010877,23.5057661,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0289777738,3.1,128,1,79490074
object,957522223132,52.8529172,-27.2307831,22.4653595,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0282781287,3.1,74,0,95752218
object,957522224156,52.8532153,-27.2306612,22.0885251,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0282520423,3.1,74,1,95752218
object,1072506978332,53.2558923,-27.5918026,21.5035551,agnSED/agn.spec.gz,0.48,0,0,0,0,0,point,none,CCM,0.0216084079,3.1,24,0,107250714
object,1072506979356,53.2553468,-27.5914125,22.9873179,agnSED/agn.spec.gz,0.48,0,0,0,0,0,point,none,CCM,0.0216464758,3.1,24,1,107250714
object,1257605247004,53.14141,-27.6883038,23.2550602,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0291211843,3.1,31,0,125760538
object,1257605248028,53.142099,-27.6880146,22.7029059,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0291202468,3.1,31,1,125760538
object,1257605249052,53.1421269,-27.6877006,22.4602797,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0291261058,3.1,31,2,125760538
object,1257605250076,53.1414848,-27.6876057,23.5817487,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0291340954,3.1,31,3,125760538
object,1302364684316,53.0179663,-27.5841587,22.4077219,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0279746372,3.1,128,0,130236442
object,1302364685340,53.0179992,-27.5839262,23.1966644,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0279706479,3.1,128,1,130236442
object,1370163503132,53.2361591,-27.4599774,21.7193447,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0202733664,3.1,74,0,137016346
object,1370163504156,53.2364578,-27.4598554,21.4012943,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0202509512,3.1,74,1,137016346
object,2098411823132,52.9744219,-27.6449595,21.712152,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0281851191,3.1,74,0,209841178
object,2098411824156,52.9747211,-27.6448375,21.2627567,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0281894173,3.1,74,1,209841178
object,2136914047004,52.8403213,-27.2090802,22.3641616,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0288041799,3.1,31,0,213691418
object,2136914048028,52.8410074,-27.208791,22.0341467,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0287374859,3.1,31,1,213691418
object,2136914049052,52.8410352,-27.208477,21.7732545,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0287073038,3.1,31,2,213691418
object,2136914050076,52.8403958,-27.2083821,23.3325268,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0287363975,3.1,31,3,213691418
object,2379735674908,53.1736042,-27.5307338,23.2938617,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0271543745,3.1,155,0,237973530
object,2379735675932,53.1729181,-27.5306501,22.8269923,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0271977353,3.1,155,1,237973530
object,2379735676956,53.1734797,-27.5302538,21.1018303,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0271486767,3.1,155,2,237973530
object,2379735677980,53.1735817,-27.5302907,20.9671995,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0271429286,3.1,155,3,237973530
object,2481019007004,53.1323597,-27.4672185,23.1241453,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0273555733,3.1,31,0,248101914
object,2481019008028,53.1330473,-27.4669293,22.4993032,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0273310843,3.1,31,1,248101914
object,2481019009052,53.1330752,-27.4666153,22.2335706,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0273143133,3.1,31,2,248101914
object,2481019010076,53.1324344,-27.4665204,23.6072013,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0273181141,3.1,31,3,248101914
object,2488791474204,53.1649456,-27.3732946,20.0784265,agnSED/agn.spec.gz,0.55,0,0,0,0,0,point,none,CCM,0.0216956267,3.1,106,0,248879130
object,2488791475228,53.1647498,-27.3732043,19.9721679,agnSED/agn.spec.gz,0.55,0,0,0,0,0,point,none,CCM,0.0216889334,3.1,106,1,248879130
object,2798520447004,52.9581344,-27.3798052,22.7688813,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0295397513,3.1,31,0,279852058
object,2798520448028,52.9588215,-27.379516,22.2778599,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0294858603,3.1,31,1,279852058
object,2798520449052,52.9588494,-27.379202,21.9989547,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.029465719,3.1,31,2,279852058
object,2798520450076,52.958209,-27.3791071,23.4264722,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.029494348,3.1,31,3,279852058
object,2857799737372,53.091095,-27.2309576,18.6892237,agnSED/agn.spec.gz,1.33,0,0,0,0,0,point,none,CCM,0.0218843881,3.1,14,0,285779994
object,2857799738396,53.0914615,-27.2310613,20.5005674,agnSED/agn.spec.gz,1.33,0,0,0,0,0,point,none,CCM,0.02187285,3.1,14,1,285779994
object,3311739404316,53.0189438,-27.6503493,22.1507871,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0301178785,3.1,128,0,331173914
object,3311739405340,53.0189768,-27.6501168,23.0749745,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0301093254,3.1,128,1,331173914
object,3642798452764,53.0615015,-27.7227608,21.3302614,agnSED/agn.spec.gz,0.61,0,0,0,0,0,point,none,CCM,0.0294273519,3.1,91,0,364279834
object,3642798453788,53.0615963,-27.7224133,23.2366057,agnSED/agn.spec.gz,0.61,0,0,0,0,0,point,none,CCM,0.0294365807,3.1,91,1,364279834
object,3770358276124,53.1622736,-27.434572,20.5998841,agnSED/agn.spec.gz,0.91,0,0,0,0,0,point,none,CCM,0.0251082359,3.1,126,0,377035802
object,3770358277148,53.1625258,-27.4345664,21.9713817,agnSED/agn.spec.gz,0.91,0,0,0,0,0,point,none,CCM,0.0251042892,3.1,126,1,377035802
object,4190905962524,53.0619131,-27.5832092,22.085106,agnSED/agn.spec.gz,1.57,0,0,0,0,0,point,none,CCM,0.0295159451,3.1,401,0,419090458
object,4190905963548,53.0619654,-27.5830666,23.0392467,agnSED/agn.spec.gz,1.57,0,0,0,0,0,point,none,CCM,0.0295130938,3.1,401,1,419090458
object,4388301025308,52.9701476,-27.2621243,20.387284,agnSED/agn.spec.gz,0.49,0,0,0,0,0,point,none,CCM,0.024587258,3.1,55,0,438830106
object,4388301026332,52.9697429,-27.2619793,22.6909415,agnSED/agn.spec.gz,0.49,0,0,0,0,0,point,none,CCM,0.0245846309,3.1,55,1,438830106
object,4462111924252,52.9148975,-27.4644564,22.2633935,agnSED/agn.spec.gz,1.31,0,0,0,0,0,point,none,CCM,0.031355182,3.1,294,0,446211098
object,4462111925276,52.9148982,-27.4642829,21.6005144,agnSED/agn.spec.gz,1.31,0,0,0,0,0,point,none,CCM,0.0313641644,3.1,294,1,446211098
object,4951706099740,53.1439834,-27.6892732,22.9626047,agnSED/agn.spec.gz,1.42,0,0,0,0,0,point,none,CCM,0.0290776987,3.1,122,0,495170586
object,4951706100764,53.144245,-27.6891876,22.5010227,agnSED/agn.spec.gz,1.42,0,0,0,0,0,point,none,CCM,0.029076821,3.1,122,1,495170586
object,4951788404764,53.2563245,-27.2703267,21.324877,agnSED/agn.spec.gz,1.49,0,0,0,0,0,point,none,CCM,0.0240143826,3.1,216,0,495178778
object,4951788405788,53.2558477,-27.2699999,21.4114136,agnSED/agn.spec.gz,1.49,0,0,0,0,0,point,none,CCM,0.0239996523,3.1,216,1,495178778
object,4951788406812,53.2566567,-27.2697659,22.2155396,agnSED/agn.spec.gz,1.49,0,0,0,0,0,point,none,CCM,0.0240434971,3.1,216,2,495178778
object,4951788407836,53.2559574,-27.2694928,21.404655,agnSED/agn.spec.gz,1.49,0,0,0,0,0,point,none,CCM,0.0240171646,3.1,216,3,495178778
object,6895647969308,53.1816584,-27.3499207,23.0397,agnSED/agn.spec.gz,1.33,0,0,0,0,0,point,none,CCM,0.0209592991,3.1,305,0,689564698
object,6895647970332,53.1814288,-27.3497156,21.7706996,agnSED/agn.spec.gz,1.33,0,0,0,0,0,point,none,CCM,0.0209460362,3.1,305,1,689564698
object,7297218994204,52.9002035,-27.2826289,20.122272,agnSED/agn.spec.gz,0.55,0,0,0,0,0,point,none,CCM,0.0273586734,3.1,106,0,729721882
object,7297218995228,52.9000079,-27.2825386,20.1008454,agnSED/agn.spec.gz,0.55,0,0,0,0,0,point,none,CCM,0.0273716922,3.1,106,1,729721882
object,7323228532764,53.0653027,-27.4795873,21.5318521,agnSED/agn.spec.gz,0.61,0,0,0,0,0,point,none,CCM,0.0288995746,3.1,91,0,732322842
object,7323228533788,53.0653973,-27.4792399,23.433559,agnSED/agn.spec.gz,0.61,0,0,0,0,0,point,none,CCM,0.0289045695,3.1,91,1,732322842
object,7911066005532,53.136774,-27.5106797,23.4814676,agnSED/agn.spec.gz,1.18,0,0,0,0,0,point,none,CCM,0.0285150048,3.1,99,0,791106586
object,7911066006556,53.13698,-27.5106552,21.7164445,agnSED/agn.spec.gz,1.18,0,0,0,0,0,point,none,CCM,0.028507228,3.1,99,1,791106586
object,9284618874908,53.1595614,-27.6154111,22.8994852,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0286392319,3.1,155,0,928461850
object,9284618875932,53.1588748,-27.6153274,22.5811014,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0286737004,3.1,155,1,928461850
object,9284618876956,53.1594368,-27.6149311,20.8654874,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0286511437,3.1,155,2,928461850
object,9284618877980,53.1595389,-27.6149679,20.7309043,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0286456812,3.1,155,3,928461850
object,9343048839196,52.7939041,-27.4794655,22.2135321,agnSED/agn.spec.gz,1.04,0,0,0,0,0,point,none,CCM,0.0313587404,3.1,283,0,934304794
object,9343048840220,52.7941837,-27.4794378,22.010143,agnSED/agn.spec.gz,1.04,0,0,0,0,0,point,none,CCM,0.0313730483,3.1,283,1,934304794
object,10375599972380,53.1344645,-27.1716109,23.4698731,agnSED/agn.spec.gz,2.47,0,0,0,0,0,point,none,CCM,0.0224733597,3.1,462,0,1037559834
object,10375599973404,53.133953,-27.1715187,23.0042904,agnSED/agn.spec.gz,2.47,0,0,0,0,0,point,none,CCM,0.0224780697,3.1,462,1,1037559834
object,10732892721180,53.3100716,-27.5695103,23.4940106,agnSED/agn.spec.gz,1.63,0,0,0,0,0,point,none,CCM,0.0212365601,3.1,137,0,1073289242
object,10732892722204,53.3103974,-27.5695121,22.4094492,agnSED/agn.spec.gz,1.63,0,0,0,0,0,point,none,CCM,0.021239145,3.1,137,1,1073289242
object,11289805434908,53.2023926,-27.4860306,23.5230864,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0226010496,3.1,155,0,1128980506
object,11289805435932,53.2017068,-27.4859469,23.0222779,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0226713056,3.1,155,1,1128980506
object,11289805436956,53.2022681,-27.4855506,21.4737239,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0225960959,3.1,155,2,1128980506
object,11289805437980,53.2023701,-27.4855875,21.3392528,agnSED/agn.spec.gz,0.86,0,0,0,0,0,point,none,CCM,0.0225865335,3.1,155,3,1128980506
object,11399077867548,53.0421934,-27.3548452,23.3220159,agnSED/agn.spec.gz,3.26,0,0,0,0,0,point,none,CCM,0.0242661339,3.1,495,0,1139907610
object,11399077868572,53.0420506,-27.3546326,23.458593,agnSED/agn.spec.gz,3.26,0,0,0,0,0,point,none,CCM,0.0242661528,3.1,495,1,1139907610
object,12729785565212,52.9256464,-27.5215518,23.1512636,agnSED/agn.spec.gz,1.15,0,0,0,0,0,point,none,CCM,0.0269055124,3.1,304,0,1272978458
object,12729785566236,52.9255072,-27.5212319,22.6031797,agnSED/agn.spec.gz,1.15,0,0,0,0,0,point,none,CCM,0.0269335504,3.1,304,1,1272978458
object,13159835463708,53.2120274,-27.3361009,21.8035591,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209991521,3.1,455,0,1315983386
object,13159835464732,53.2117331,-27.3359711,21.493019,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209874572,3.1,455,1,1315983386
object,13159835465756,53.2123208,-27.3357956,21.7823323,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209923578,3.1,455,2,1315983386
object,13159835466780,53.2119201,-27.3356474,22.0322562,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209776405,3.1,455,3,1315983386
object,13205637955612,52.7942378,-27.2513363,21.6386997,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.034038418,3.1,204,0,1320563738
object,13205637956636,52.7946128,-27.2511372,22.3166121,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0340314417,3.1,204,1,1320563738
object,13205637957660,52.7940765,-27.2511195,21.8610185,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0340240329,3.1,204,2,1320563738
