# AGN_ID, AGN_RA, AGN_DEC, AGN_ABMAG, AGN_SED, AGN_RedShift, AGN_CatSim_ID, AGN_Twinkles_ID, AGN_IMG_NUM, AGN_SRC_y1, AGN_SRC_y2, AGN_IMG_MAG
213934178332 53.052941 -27.7033144 21.1014594 agnSED/agn.spec.gz 0.48 208920096 24 0 -0.3190134 0.08788131 1.1298
233595183132 53.0834399 -27.7074247 21.8323018 agnSED/agn.spec.gz 0.66 228120296 74 0 -0.08283626 0.07281931 7.1114
485837983772 52.7858168 -27.3042272 20.0769006 agnSED/agn.spec.gz 0.75 474451156 289 0 -0.0420955 -0.322905 1.5634
551311822876 52.9699268 -27.4221909 20.3711495 agnSED/agn.spec.gz 0.69 538390452 113 0 -0.06713398 -0.2765808 2.6343
785592844316 52.9006004 -27.2818658 22.7653619 agnSED/agn.spec.gz 0.62 767180512 128 0 0.3773131 0.7968826 1.8079
794901004316 53.1284066 -27.5017185 22.6010005 agnSED/agn.spec.gz 0.62 776270512 128 0 0.3773131 0.7968826 1.8079
957522223132 52.8537806 -27.2302554 22.4991924 agnSED/agn.spec.gz 0.66 935080296 74 0 -0.08283626 0.07281931 7.1114
1072506978332 53.2552647 -27.5926263 21.5086093 agnSED/agn.spec.gz 0.48 1047370096 24 0 -0.3190134 0.08788131 1.1298
1257605247004 53.1403691 -27.6887546 23.3059286 agnSED/agn.spec.gz 0.62 1228130124 31 0 0.1955053 -0.3261197 2.4912
1302364684316 53.0173568 -27.5841959 22.3867826 agnSED/agn.spec.gz 0.62 1271840512 128 0 0.3773131 0.7968826 1.8079
1370163503132 53.2360842 -27.4607287 21.7000374 agnSED/agn.spec.gz 0.66 1338050296 74 0 -0.08283626 0.07281931 7.1114
2098411823132 52.9735542 -27.6448562 21.6724431 agnSED/agn.spec.gz 0.66 2049230296 74 0 -0.08283626 0.07281931 7.1114
2136914047004 52.8412748 -27.2085096 22.3451706 agnSED/agn.spec.gz 0.62 2086830124 31 0 0.1955053 -0.3261197 2.4912
2379735674908 53.1732283 -27.5312824 23.3323577 agnSED/agn.spec.gz 0.86 2323960620 155 0 -0.3438527 0.4422595 0.5542
2481019007004 53.1322481 -27.4676273 23.1598547 agnSED/agn.spec.gz 0.62 2422870124 31 0 0.1955053 -0.3261197 2.4912
2488791474204 53.1652298 -27.3738058 20.0496835 agnSED/agn.spec.gz 0.55 2430460424 106 0 0.1466517 -0.1421883 3.1572
2798520447004 52.9583796 -27.3796334 22.7651793 agnSED/agn.spec.gz 0.62 2732930124 31 0 0.1955053 -0.3261197 2.4912
2857799737372 53.0919706 -27.2312169 18.6952693 agnSED/agn.spec.gz 1.33 2790820056 14 0 -0.3615229 0.2707394 2.1099
3311739404316 53.0180559 -27.6503933 22.0903141 agnSED/agn.spec.gz 0.62 3234120512 128 0 0.3773131 0.7968826 1.8079
3642798452764 53.0603108 -27.7229494 21.3171279 agnSED/agn.spec.gz 0.61 3557420364 91 0 0.01522251 0.13354 4.6243
3770358276124 53.1623008 -27.4350777 20.5983604 agnSED/agn.spec.gz 0.91 3681990504 126 0 0.4112717 -0.4371532 2.3695
4190905962524 53.06131 -27.5833915 22.0958172 agnSED/agn.spec.gz 1.57 4092681604 401 0 -0.1260531 0.05670582 0.6025
4388301025308 52.9708861 -27.2619857 20.4103838 agnSED/agn.spec.gz 0.49 4285450220 55 0 0.7108944 -0.4195212 2.4262
4462111924252 52.9147854 -27.4641464 22.2757596 agnSED/agn.spec.gz 1.31 4357531176 294 0 0.05433966 0.3829259 1.6769
4951706099740 53.1429386 -27.6897325 22.9747901 agnSED/agn.spec.gz 1.42 4835650488 122 0 0.07975704 -0.7288819 1.5844
4951788404764 53.2570454 -27.2711342 21.3155086 agnSED/agn.spec.gz 1.49 4835730864 216 0 -0.1912047 -0.269578 2.6053
6895647969308 53.1820416 -27.3504859 23.0492098 agnSED/agn.spec.gz 1.33 6734031220 305 0 -0.1480936 -0.22495 2.2118
7297218994204 52.9008526 -27.2822603 20.0941268 agnSED/agn.spec.gz 0.55 7126190424 106 0 0.1466517 -0.1421883 3.1572
