galid,ra,dec,mag,sed_name,z,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,catsim_id
213934178330,53.052941,-27.7033144,19.2833768,galaxySED/Inst.50E09.04Z.spec.gz,0.48,sersic2d,1.00133634,0.981526315,306.387299,4,208920096
213934179354,53.0523965,-27.7029225,20.77273,galaxySED/Inst.50E09.04Z.spec.gz,0.48,sersic2d,1.00133634,0.981526315,306.387299,4,208920097
233595183130,53.0834399,-27.7074247,19.5537194,galaxySED/Inst.50E09.04Z.spec.gz,0.66,sersic2d,0.883695185,0.862247109,324.773987,4,228120296
233595184154,53.0837398,-27.7073037,19.1378965,galaxySED/Inst.50E09.04Z.spec.gz,0.66,sersic2d,0.883695185,0.862247109,324.773987,4,228120297
485837983770,52.7858168,-27.3042272,18.5571685,galaxySED/Inst.40E09.04Z.spec.gz,0.75,sersic2d,0.870239615,0.548561692,87.9920959,4,474451156
485837984794,52.7859556,-27.3040117,20.6907089,galaxySED/Inst.40E09.04Z.spec.gz,0.75,sersic2d,0.870239615,0.548561692,87.9920959,4,474451157
551311822874,52.9699268,-27.4221909,19.0420932,galaxySED/Inst.20E09.02Z.spec.gz,0.69,sersic2d,1.43540835,1.26504374,197.768188,4,538390452
551311823898,52.9698944,-27.4217391,20.6984886,galaxySED/Inst.20E09.02Z.spec.gz,0.69,sersic2d,1.43540835,1.26504374,197.768188,4,538390453
785592844314,52.9006004,-27.2818658,21.5449038,galaxySED/Burst.62E09.02Z.spec.gz,0.62,sersic2d,0.272770405,0.239748403,170.279175,4,767180512
785592845338,52.9006342,-27.2816335,22.3907964,galaxySED/Burst.62E09.02Z.spec.gz,0.62,sersic2d,0.272770405,0.239748403,170.279175,4,767180513
794901004314,53.1284066,-27.5017185,19.8017226,galaxySED/Burst.20E09.04Z.spec.gz,0.62,sersic2d,0.399624497,0.251231015,178.043396,4,776270512
794901005338,53.1284405,-27.5014862,20.6476152,galaxySED/Burst.20E09.04Z.spec.gz,0.62,sersic2d,0.399624497,0.251231015,178.043396,4,776270513
957522223130,52.8537806,-27.2302554,20.7277592,galaxySED/Burst.50E09.04Z.spec.gz,0.66,sersic2d,0.834191084,0.825032771,180.664932,4,935080296
957522224154,52.8540792,-27.2301344,20.3119364,galaxySED/Burst.50E09.04Z.spec.gz,0.66,sersic2d,0.834191084,0.825032771,180.664932,4,935080297
1072506978330,53.2552647,-27.5926263,20.291937,galaxySED/Inst.50E09.04Z.spec.gz,0.48,sersic2d,0.529545426,0.340159088,62.7646179,4,1047370096
1072506979354,53.2547208,-27.5922344,21.7812902,galaxySED/Inst.50E09.04Z.spec.gz,0.48,sersic2d,0.529545426,0.340159088,62.7646179,4,1047370097
1257605247002,53.1403691,-27.6887546,20.2918506,galaxySED/Inst.20E09.02Z.spec.gz,0.62,sersic2d,0.747144699,0.728928924,91.7258606,4,1228130124
1257605248026,53.1410594,-27.6884676,19.8331497,galaxySED/Inst.20E09.02Z.spec.gz,0.62,sersic2d,0.747144699,0.728928924,91.7258606,4,1228130125
1257605249050,53.1410886,-27.6881537,19.5787859,galaxySED/Inst.20E09.02Z.spec.gz,0.62,sersic2d,0.747144699,0.728928924,91.7258606,4,1228130126
1257605250074,53.1404469,-27.6880567,20.9515524,galaxySED/Inst.20E09.02Z.spec.gz,0.62,sersic2d,0.747144699,0.728928924,91.7258606,4,1228130127
1302364684314,53.0173568,-27.5841959,19.3282137,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,1.08349872,0.797744572,17.5424881,4,1271840512
1302364685338,53.0173907,-27.5839635,20.1741063,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,1.08349872,0.797744572,17.5424881,4,1271840513
1370163503130,53.2360842,-27.4607287,22.7227391,galaxySED/Exp.80E09.04Z.spec.gz,0.66,sersic2d,0.290544301,0.288831502,353.431976,4,1338050296
1370163504154,53.2363834,-27.4606077,22.3069162,galaxySED/Exp.80E09.04Z.spec.gz,0.66,sersic2d,0.290544301,0.288831502,353.431976,4,1338050297
2098411823130,52.9735542,-27.6448562,21.4949292,galaxySED/Burst.50E09.04Z.spec.gz,0.66,sersic2d,0.667158306,0.57069838,207.514099,4,2049230296
2098411824154,52.9738539,-27.6447352,21.0791063,galaxySED/Burst.50E09.04Z.spec.gz,0.66,sersic2d,0.667158306,0.57069838,207.514099,4,2049230297
2136914047002,52.8412748,-27.2085096,22.7406707,galaxySED/Inst.50E09.02Z.spec.gz,0.62,sersic2d,0.497944415,0.457479805,108.465698,4,2086830124
2136914048026,52.841962,-27.2082227,22.2819698,galaxySED/Inst.50E09.02Z.spec.gz,0.62,sersic2d,0.497944415,0.457479805,108.465698,4,2086830125
2136914049050,52.8419912,-27.2079087,22.027606,galaxySED/Inst.50E09.02Z.spec.gz,0.62,sersic2d,0.497944415,0.457479805,108.465698,4,2086830126
2136914050074,52.8413522,-27.2078117,23.4003726,galaxySED/Inst.50E09.02Z.spec.gz,0.62,sersic2d,0.497944415,0.457479805,108.465698,4,2086830127
2379735674906,53.1732283,-27.5312824,20.7298558,galaxySED/Inst.25E09.04Z.spec.gz,0.86,sersic2d,0.462963194,0.282003701,197.275436,4,2323960620
2379735675930,53.1725425,-27.5311963,20.3796366,galaxySED/Inst.25E09.04Z.spec.gz,0.86,sersic2d,0.462963194,0.282003701,197.275436,4,2323960621
2379735676954,53.1731058,-27.5308019,18.6104798,galaxySED/Inst.25E09.04Z.spec.gz,0.86,sersic2d,0.462963194,0.282003701,197.275436,4,2323960622
2379735677978,53.1732077,-27.5308391,18.4759492,galaxySED/Inst.25E09.04Z.spec.gz,0.86,sersic2d,0.462963194,0.282003701,197.275436,4,2323960623
2481019007002,53.1322481,-27.4676273,21.2704902,galaxySED/Burst.40E09.04Z.spec.gz,0.62,sersic2d,0.537671089,0.421491802,45.3556366,4,2422870124
2481019008026,53.132937,-27.4673403,20.8117893,galaxySED/Burst.40E09.04Z.spec.gz,0.62,sersic2d,0.537671089,0.421491802,45.3556366,4,2422870125
2481019009050,53.1329662,-27.4670264,20.5574255,galaxySED/Burst.40E09.04Z.spec.gz,0.62,sersic2d,0.537671089,0.421491802,45.3556366,4,2422870126
2481019010074,53.1323257,-27.4669294,21.930192,galaxySED/Burst.40E09.04Z.spec.gz,0.62,sersic2d,0.537671089,0.421491802,45.3556366,4,2422870127
2488791474202,53.1652298,-27.3738058,20.4081032,galaxySED/Burst.50E09.04Z.spec.gz,0.55,sersic2d,0.712852418,0.644729614,114.760376,4,2430460424
2488791475226,53.1650344,-27.3737149,20.3581781,galaxySED/Burst.50E09.04Z.spec.gz,0.55,sersic2d,0.712852418,0.644729614,114.760376,4,2430460425
2798520447002,52.9583796,-27.3796334,20.6356101,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.580535114,0.422352612,121.141472,4,2732930124
2798520448026,52.959068,-27.3793464,20.1769092,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.580535114,0.422352612,121.141472,4,2732930125
2798520449050,52.9590972,-27.3790325,19.9225454,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.580535114,0.422352612,121.141472,4,2732930126
2798520450074,52.9584572,-27.3789355,21.295312,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.580535114,0.422352612,121.141472,4,2732930127
2857799737370,53.0919706,-27.2312169,20.8433007,galaxySED/Inst.16E09.04Z.spec.gz,1.33,sersic2d,1.55891335,1.5458473,177.653671,4,2790820056
2857799738394,53.0923367,-27.2313218,22.6323843,galaxySED/Inst.16E09.04Z.spec.gz,1.33,sersic2d,1.55891335,1.5458473,177.653671,4,2790820057
3311739404314,53.0180559,-27.6503933,21.650033,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.356075615,0.353397608,35.2530212,4,3234120512
3311739405338,53.0180898,-27.650161,22.4959256,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.356075615,0.353397608,35.2530212,4,3234120513
3642798452762,53.0603108,-27.7229494,21.8895381,galaxySED/Burst.40E09.04Z.spec.gz,0.61,sersic2d,0.614147425,0.430699587,356.087555,4,3557420364
3642798453786,53.0604071,-27.7226023,23.8131856,galaxySED/Burst.40E09.04Z.spec.gz,0.61,sersic2d,0.614147425,0.430699587,356.087555,4,3557420365
3770358276122,53.1623008,-27.4350777,23.2108531,galaxySED/Burst.32E09.02Z.spec.gz,0.91,sersic2d,0.299766093,0.284476906,298.137604,4,3681990504
3770358277146,53.162553,-27.435073,24.4776567,galaxySED/Burst.32E09.02Z.spec.gz,0.91,sersic2d,0.299766093,0.284476906,298.137604,4,3681990505
4190905962522,53.06131,-27.5833915,24.4110467,galaxySED/Burst.25E09.02Z.spec.gz,1.57,sersic2d,0.211734504,0.199321002,150.978394,4,4092681604
4190905963546,53.061363,-27.5832491,25.2882129,galaxySED/Burst.25E09.02Z.spec.gz,1.57,sersic2d,0.211734504,0.199321002,150.978394,4,4092681605
4388301025306,52.9708861,-27.2619857,21.8478882,galaxySED/Burst.50E09.04Z.spec.gz,0.49,sersic2d,0.758142173,0.571776271,90.6038132,4,4285450220
4388301026330,52.970482,-27.2618393,24.0770998,galaxySED/Burst.50E09.04Z.spec.gz,0.49,sersic2d,0.758142173,0.571776271,90.6038132,4,4285450221
4462111924250,52.9147854,-27.4641464,20.9296864,galaxySED/Inst.16E09.04Z.spec.gz,1.31,sersic2d,1.29333043,1.29128945,125.675827,4,4357531176
4462111925274,52.9147868,-27.4639729,20.3599226,galaxySED/Inst.16E09.04Z.spec.gz,1.31,sersic2d,1.29333043,1.29128945,125.675827,4,4357531177
4951706099738,53.1429386,-27.6897325,27.9143565,galaxySED/Inst.25E09.02Z.spec.gz,1.42,sersic2d,0.1197128,0.106864102,336.977753,4,4835650488
4951706100762,53.1432006,-27.6896478,27.5620188,galaxySED/Inst.25E09.02Z.spec.gz,1.42,sersic2d,0.1197128,0.106864102,336.977753,4,4835650489
4951788404762,53.2570454,-27.2711342,27.0061712,galaxySED/Inst.25E09.02Z.spec.gz,1.49,sersic2d,0.1197128,0.106864102,336.977753,4,4835730864
4951788405786,53.25657,-27.2708058,27.1406237,galaxySED/Inst.25E09.02Z.spec.gz,1.49,sersic2d,0.1197128,0.106864102,336.977753,4,4835730865
4951788406810,53.2573799,-27.2705745,27.9286301,galaxySED/Inst.25E09.02Z.spec.gz,1.49,sersic2d,0.1197128,0.106864102,336.977753,4,4835730866
4951788407834,53.2566817,-27.270299,27.0862279,galaxySED/Inst.25E09.02Z.spec.gz,1.49,sersic2d,0.1197128,0.106864102,336.977753,4,4835730867
6895647969306,53.1820416,-27.3504859,23.2935843,galaxySED/Burst.40E09.04Z.spec.gz,1.33,sersic2d,0.655302286,0.524073482,111.770821,4,6734031220
6895647970330,53.1818128,-27.35028,21.9739337,galaxySED/Burst.40E09.04Z.spec.gz,1.33,sersic2d,0.655302286,0.524073482,111.770821,4,6734031221
7297218994202,52.9008526,-27.2822603,22.8112938,galaxySED/Inst.50E09.04Z.spec.gz,0.55,sersic2d,0.160080001,0.156762406,349.609009,4,7126190424
7297218995226,52.9006573,-27.2821694,22.7613687,galaxySED/Inst.50E09.04Z.spec.gz,0.55,sersic2d,0.160080001,0.156762406,349.609009,4,7126190425
7323228532762,53.0651353,-27.4797751,22.4490779,galaxySED/Burst.50E09.04Z.spec.gz,0.61,sersic2d,0.370422214,0.238982201,55.1316071,4,7151590364
7323228533786,53.0652314,-27.479428,24.3727254,galaxySED/Burst.50E09.04Z.spec.gz,0.61,sersic2d,0.370422214,0.238982201,55.1316071,4,7151590365
7911066005530,53.1364801,-27.5111054,25.3070227,galaxySED/Burst.32E09.02Z.spec.gz,1.18,sersic2d,0.199039593,0.192121103,84.435318,4,7725650396
7911066006554,53.1366863,-27.5110816,23.5359809,galaxySED/Burst.32E09.02Z.spec.gz,1.18,sersic2d,0.199039593,0.192121103,84.435318,4,7725650397
9284618874906,53.1588286,-27.6159179,23.4945061,galaxySED/Inst.25E09.02Z.spec.gz,0.86,sersic2d,0.377838314,0.248318702,186.370071,4,9067010620
9284618875930,53.1581423,-27.6158318,23.144287,galaxySED/Inst.25E09.02Z.spec.gz,0.86,sersic2d,0.377838314,0.248318702,186.370071,4,9067010621
9284618876954,53.158706,-27.6154374,21.3751301,galaxySED/Inst.25E09.02Z.spec.gz,0.86,sersic2d,0.377838314,0.248318702,186.370071,4,9067010622
9284618877978,53.158808,-27.6154746,21.2405995,galaxySED/Inst.25E09.02Z.spec.gz,0.86,sersic2d,0.377838314,0.248318702,186.370071,4,9067010623
9343048839194,52.7937229,-27.4787565,22.9325411,galaxySED/Burst.32E09.02Z.spec.gz,1.04,sersic2d,0.428320289,0.326506406,50.6516037,4,9124071132
9343048840218,52.7940026,-27.4787298,22.6716002,galaxySED/Burst.32E09.02Z.spec.gz,1.04,sersic2d,0.428320289,0.326506406,50.6516037,4,9124071133
10375599972378,53.1355905,-27.1720103,22.6710249,galaxySED/Const.10E10.04Z.spec.gz,2.47,sersic2d,0.668367207,0.596431673,123.837112,4,10132421848
10375599973402,53.1350794,-27.1719163,22.2416083,galaxySED/Const.10E10.04Z.spec.gz,2.47,sersic2d,0.668367207,0.596431673,123.837112,4,10132421849
10732892721178,53.3095412,-27.5705119,25.9337546,galaxySED/Inst.40E09.04Z.spec.gz,1.63,sersic2d,0.172311902,0.158806399,108.385674,4,10481340548
10732892722202,53.309867,-27.5705147,24.7361294,galaxySED/Inst.40E09.04Z.spec.gz,1.63,sersic2d,0.172311902,0.158806399,108.385674,4,10481340549
11289805434906,53.2022062,-27.4866718,26.9755642,galaxySED/Inst.50E09.02Z.spec.gz,0.86,sersic2d,0.0806213021,0.0792689025,59.2486,4,11025200620
11289805435930,53.2015207,-27.4865858,26.6253451,galaxySED/Inst.50E09.02Z.spec.gz,0.86,sersic2d,0.0806213021,0.0792689025,59.2486,4,11025200621
11289805436954,53.2020838,-27.4861914,24.8561882,galaxySED/Inst.50E09.02Z.spec.gz,0.86,sersic2d,0.0806213021,0.0792689025,59.2486,4,11025200622
11289805437978,53.2021856,-27.4862285,24.7216577,galaxySED/Inst.50E09.02Z.spec.gz,0.86,sersic2d,0.0806213021,0.0792689025,59.2486,4,11025200623
11399077867546,53.0425478,-27.3549498,22.7594918,galaxySED/Inst.20E09.1Z.spec.gz,3.26,sersic2d,0.758339286,0.629021525,22.0282478,4,11131911980
11399077868570,53.0424059,-27.3547367,22.873556,galaxySED/Inst.20E09.1Z.spec.gz,3.26,sersic2d,0.758339286,0.629021525,22.0282478,4,11131911981
12729785565210,52.9252951,-27.5212805,23.2415582,galaxySED/Inst.25E09.02Z.spec.gz,1.15,sersic2d,0.528406322,0.490103304,18.7679062,4,12431431216
