prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv
object,21393434,53.0535953,-27.7028124,17.8301052,galaxySED/Inst.25E09.02Z.spec.gz,0.184,0,0,0,0,0,sersic2d,7.81818154e-06,5.59113188e-06,0.992164702,4,CCM,0.200000003,3.0999999,CCM,0.029789765,3.1
object,23359514,53.0846493,-27.7071324,19.9346871,galaxySED/Inst.25E09.02Z.spec.gz,0.302,0,0,0,0,0,sersic2d,4.44570945e-06,4.36949799e-06,-1.21265895,4,CCM,0.200000003,3.0999999,CCM,0.0291967489,3.1
object,48583706,52.7853574,-27.3048094,20.5389923,galaxySED/Inst.40E09.04Z.spec.gz,0.566,0,0,0,0,0,sersic2d,8.2242278e-06,5.31142754e-06,-2.46634746,4,CCM,0.300000012,3.0999999,CCM,0.0323991928,3.1
object,55131162,52.9697904,-27.421952,19.4890999,galaxySED/Burst.32E09.02Z.spec.gz,0.362,0,0,0,0,0,sersic2d,9.51343736e-06,6.13822961e-06,0.828110908,4,CCM,0.600000024,3.0999999,CCM,0.0296704135,3.1
object,78559258,52.8999025,-27.2820862,20.0683712,galaxySED/Exp.80E09.04Z.spec.gz,0.378,0,0,0,0,0,sersic2d,3.08441025e-06,2.96757368e-06,1.9059711,4,CCM,0.100000001,3.0999999,CCM,0.0273760289,3.1
object,79490074,53.1286144,-27.501171,20.0683712,galaxySED/Exp.80E09.04Z.spec.gz,0.378,0,0,0,0,0,sersic2d,3.08441025e-06,2.96757368e-06,1.9059711,4,CCM,0.100000001,3.0999999,CCM,0.0289803545,3.1
object,95752218,52.8530026,-27.2307548,19.9346871,galaxySED/Inst.25E09.02Z.spec.gz,0.302,0,0,0,0,0,sersic2d,4.44570945e-06,4.36949799e-06,-1.21265895,4,CCM,0.300000012,3.0999999,CCM,0.0282709528,3.1
object,107250714,53.2554386,-27.5914636,17.8301052,galaxySED/Inst.25E09.02Z.spec.gz,0.184,0,0,0,0,0,sersic2d,7.81818154e-06,5.59113188e-06,0.992164702,4,CCM,0.200000003,3.0999999,CCM,0.0216402733,3.1
object,125760538,53.1416896,-27.6878607,17.7945542,galaxySED/Inst.40E09.02Z.spec.gz,0.202,0,0,0,0,0,sersic2d,1.20964562e-05,8.07357888e-06,2.37624658,4,CCM,0.300000012,3.0999999,CCM,0.0291271586,3.1
object,130236442,53.017919,-27.5840095,20.0683712,galaxySED/Exp.80E09.04Z.spec.gz,0.378,0,0,0,0,0,sersic2d,3.08441025e-06,2.96757368e-06,1.9059711,4,CCM,0.300000012,3.0999999,CCM,0.0279689369,3.1
object,137016346,53.2362447,-27.4599491,19.9346871,galaxySED/Inst.25E09.02Z.spec.gz,0.302,0,0,0,0,0,sersic2d,4.44570945e-06,4.36949799e-06,-1.21265895,4,CCM,0.0,3.0999999,CCM,0.0202669177,3.1
object,209841178,52.9745076,-27.6449311,19.9346871,galaxySED/Inst.25E09.02Z.spec.gz,0.302,0,0,0,0,0,sersic2d,4.44570945e-06,4.36949799e-06,-1.21265895,4,CCM,0.200000003,3.0999999,CCM,0.0281867297,3.1
object,213691418,52.8405998,-27.2086372,17.7945542,galaxySED/Inst.40E09.02Z.spec.gz,0.202,0,0,0,0,0,sersic2d,1.20964562e-05,8.07357888e-06,2.37624658,4,CCM,0.200000003,3.0999999,CCM,0.0287475253,3.1
object,237973530,53.1733893,-27.5305477,19.4836544,galaxySED/Inst.20E09.02Z.spec.gz,0.416,0,0,0,0,0,sersic2d,7.09111644e-06,4.38581865e-06,2.56204037,4,CCM,0.5,3.0999999,CCM,0.0271632902,3.1
object,248101914,53.1326388,-27.4667755,17.7945542,galaxySED/Inst.40E09.02Z.spec.gz,0.202,0,0,0,0,0,sersic2d,1.20964562e-05,8.07357888e-06,2.37624658,4,CCM,0.200000003,3.0999999,CCM,0.0273286357,3.1
object,248879130,53.1648484,-27.3732863,20.1252884,galaxySED/Burst.50E09.04Z.spec.gz,0.35,0,0,0,0,0,sersic2d,3.98059662e-06,2.58265647e-06,-2.06438766,4,CCM,0.200000003,3.0999999,CCM,0.0216946216,3.1
object,279852058,52.9584133,-27.3793621,17.7945542,galaxySED/Inst.40E09.02Z.spec.gz,0.202,0,0,0,0,0,sersic2d,1.20964562e-05,8.07357888e-06,2.37624658,4,CCM,0.100000001,3.0999999,CCM,0.0294985479,3.1
object,285779994,53.0914273,-27.2310239,18.6967072,galaxySED/Inst.50E09.02Z.spec.gz,0.158,0,0,0,0,0,sersic2d,1.11058236e-05,5.10853338e-06,-0.169663666,4,CCM,0.200000003,3.0999999,CCM,0.0218739248,3.1
object,331173914,53.0188965,-27.6502001,20.0683712,galaxySED/Exp.80E09.04Z.spec.gz,0.378,0,0,0,0,0,sersic2d,3.08441025e-06,2.96757368e-06,1.9059711,4,CCM,0.200000003,3.0999999,CCM,0.0301093365,3.1
object,364279834,53.0615759,-27.7224666,19.5672764,galaxySED/Burst.32E09.02Z.spec.gz,0.324,0,0,0,0,0,sersic2d,4.77408317e-06,3.99888998e-06,-2.50938553,4,CCM,0.200000003,3.0999999,CCM,0.0294352689,3.1
object,377035802,53.1624749,-27.4345633,20.8818192,galaxySED/Burst.32E09.02Z.spec.gz,0.376,0,0,0,0,0,sersic2d,3.17608013e-06,2.91277689e-06,2.26013506,4,CCM,0.400000006,3.0999999,CCM,0.0251048399,3.1
object,419090458,53.0619602,-27.5830815,23.1186546,galaxySED/Inst.25E09.02Z.spec.gz,0.716,0,0,0,0,0,sersic2d,4.67148256e-06,1.46432619e-06,1.92455013,4,CCM,0.400000006,3.0999999,CCM,0.0295133978,3.1
object,438830106,52.9697759,-27.2619872,18.9664539,galaxySED/Inst.50E09.04Z.spec.gz,0.254,0,0,0,0,0,sersic2d,6.30508892e-06,4.91544417e-06,0.579245108,4,CCM,0.100000001,3.0999999,CCM,0.024584718,3.1
object,446211098,52.9148839,-27.4644121,22.2050346,galaxySED/Burst.32E09.04Z.spec.gz,0.572,0,0,0,0,0,sersic2d,3.83983338e-06,2.85509352e-06,2.0178118,4,CCM,0.5,3.0999999,CCM,0.0313578964,3.1
object,495170586,53.1440609,-27.6892635,21.0066246,galaxySED/Inst.40E09.04Z.spec.gz,0.374,0,0,0,0,0,sersic2d,3.27787101e-06,2.26386587e-06,2.41651307,4,CCM,0.0,3.0999999,CCM,0.0290771356,3.1
object,495178778,53.2562935,-27.269867,19.9356827,galaxySED/Inst.40E09.04Z.spec.gz,0.494,0,0,0,0,0,sersic2d,8.93661672e-06,5.79227617e-06,-1.72844808,4,CCM,0.0,3.0999999,CCM,0.0240239471,3.1
object,689564698,53.181588,-27.3499075,21.5386814,galaxySED/Inst.50E09.04Z.spec.gz,0.588,0,0,0,0,0,sersic2d,6.77558073e-06,3.8679175e-06,-1.74203215,4,CCM,0.200000003,3.0999999,CCM,0.0209573258,3.1
object,729721882,52.9001065,-27.2826207,20.1252884,galaxySED/Burst.50E09.04Z.spec.gz,0.35,0,0,0,0,0,sersic2d,3.98059662e-06,2.58265647e-06,-2.06438766,4,CCM,0.200000003,3.0999999,CCM,0.0273653809,3.1
object,732322842,53.0653769,-27.4792931,19.5672764,galaxySED/Burst.32E09.02Z.spec.gz,0.324,0,0,0,0,0,sersic2d,4.77408317e-06,3.99888998e-06,-2.50938553,4,CCM,0.200000003,3.0999999,CCM,0.0289036821,3.1
object,791106586,53.1368134,-27.510691,20.9916004,galaxySED/Burst.32E09.02Z.spec.gz,0.34,0,0,0,0,0,sersic2d,4.11121271e-06,2.54722188e-06,2.32919774,4,CCM,0.300000012,3.0999999,CCM,0.0285139699,3.1
object,928461850,53.1593463,-27.6152249,19.4836544,galaxySED/Inst.20E09.02Z.spec.gz,0.416,0,0,0,0,0,sersic2d,7.09111644e-06,4.38581865e-06,2.56204037,4,CCM,0.400000006,3.0999999,CCM,0.0286519787,3.1
object,934304794,52.7939938,-27.4794364,21.4313969,galaxySED/Inst.25E09.02Z.spec.gz,0.562,0,0,0,0,0,sersic2d,7.30340909e-06,6.20142764e-06,-2.38953202,4,CCM,0.300000012,3.0999999,CCM,0.0313630741,3.1
object,1037559834,53.1342874,-27.1716635,21.8332428,galaxySED/Burst.50E09.04Z.spec.gz,0.778,0,0,0,0,0,sersic2d,6.47803826e-06,4.31334283e-06,0.663987301,4,CCM,0.100000001,3.0999999,CCM,0.0224726849,3.1
object,1073289242,53.3101745,-27.5694748,20.8337349,galaxySED/Inst.25E09.02Z.spec.gz,0.39,0,0,0,0,0,sersic2d,1.84281235e-06,1.15554304e-06,0.939213681,4,CCM,0.0,3.0999999,CCM,0.0212384636,3.1
